# Dependencies for a3-modular-kalah-OverCry
# Analyse and report dependencies of modules.

# Summary Information
# Timestamp	Sun May 16 20:50:15 NZST 2021
# Tool	mete-analysis(dependencies):20170202T1945
# System	a3-modular-kalah-OverCry
# Codebase	./submissions/a3-modular-kalah-OverCry/a3-modular-kalah-OverCry

# Attribute Descriptions
# 1	Source	The name of the module the dependency is from.
# 2	Package	The package the source module belongs to. Provided for convenience as it is part of the source name
# 3	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 4	Modifiers	The modifiers for the source module (comma separated).
# 5	Target	The name of the module the dependency is to.
# 6	Package	The package the target module belongs to. Provided for convenience as it is part of the target name
# 7	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 8	Category	Dependencies are classified according to what kind of dependency they represent.
# 9	Area	Classification of the area of the source module the dependency originates from.
# 10	Details	More details of the origin of the dependency. Typically formatted text.
# 11	Locations	Even more details of the origin of the dependency. Typically formatted text.
# 12	Target	Information about the target of the dependency within the target module, if such makes sense.
# 13	Visibility	The degree to which the dependency is visible outside the source module
# 14	Inheritance	In what way is the dependency due to inheritance (if it is)

# Data
# Source	Package	Kind	Modifiers	Target	Package	Kind	Category	Area	Details	Locations	Target	Visibility	Inheritance
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Interface.ITeam	kalah.Interface	Interface	Cast	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	46	To whole module	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	int*		Primitive	Parameter	Method	kalah.Singleton.Printer#public java.lang.String printNumber(int) {}	0	To whole module	Public	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.lang.String*	java.lang	Class	Return	Method	kalah.Singleton.Printer#public java.lang.String printNumber(int) {}		To whole module	Public	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.lang.Integer*	java.lang	Class	InvokeStatic	Method	kalah.Singleton.Printer#public java.lang.String printNumber(int) {}	1	java.lang.Integer#java.lang.String toString(int) <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeSpecial	Method	kalah.Singleton.Printer#public java.lang.String printNumber(int) {}	2	java.lang.StringBuilder#<init>() <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.Singleton.Printer#public java.lang.String printNumber(int) {}	3	java.lang.StringBuilder#java.lang.StringBuilder append(java.lang.String) <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.Singleton.Printer#public java.lang.String printNumber(int) {}	4	java.lang.StringBuilder#java.lang.StringBuilder append(int) <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.Singleton.Printer#public java.lang.String printNumber(int) {}	5	java.lang.StringBuilder#java.lang.String toString() <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	com.qualitascorpus.testsupport.IO*?	com.qualitascorpus.testsupport	Unknown	Parameter	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	0	To whole module	Public	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.util.List*	java.util	Interface	Parameter	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	1	To whole module	Public	None
